,Batter,Batter_Handedness,Pitcher_Handedness,Stadium,Batter_Home,Date,Position_In_Lineup,Pitcher,Batting_Average,Number_Of_Plate_Appearances,Batter_Age,Batter_Exp,Pitcher_Age,Pitcher_Exp,Number_Of_Hits,ERA,Stadium_Turf,Stadium_Dome,Difference_Batter_And_Pitcher,Hit,No_Hit,DateTime,Hit_Prob
164,218,0,1,TB,1,2016-04-04,3,267,0.333,4,40,15,31,7,2,6.75,1,2,1,1,0,2016-04-04,0.5
165,122,0,1,TB,1,2016-04-04,4,267,0.429,4,37,16,31,7,1,6.75,1,2,1,1,0,2016-04-04,0.25
166,551,0,1,TB,1,2016-04-04,5,267,0.167,4,36,13,31,7,0,6.75,1,2,1,0,1,2016-04-04,0.0
167,160,0,1,TB,1,2016-04-04,6,267,0.0,3,37,4,31,7,0,6.75,1,2,1,0,1,2016-04-04,0.0
168,809,1,1,TB,1,2016-04-04,7,267,0.25,4,34,9,31,7,2,6.75,1,2,0,1,0,2016-04-04,0.5
169,578,1,1,TB,1,2016-04-04,8,267,0.125,4,32,8,31,7,0,6.75,1,2,0,0,1,2016-04-04,0.0
170,108,1,1,TB,1,2016-04-04,9,267,0.25,4,34,8,31,7,1,6.75,1,2,0,1,0,2016-04-04,0.25
171,844,0,0,TB,0,2016-04-04,1,107,0.0,5,33,10,46,15,0,5.4,1,2,0,0,1,2016-04-04,0.0
172,713,1,0,TB,0,2016-04-04,2,107,0.0,3,33,11,46,15,0,5.4,1,2,1,0,1,2016-04-04,0.0
173,697,0,0,TB,0,2016-04-04,3,107,0.333,5,35,13,46,15,1,5.4,1,2,0,1,0,2016-04-04,0.2
174,81,1,0,TB,0,2016-04-04,4,107,0.125,4,31,8,46,15,0,5.4,1,2,1,0,1,2016-04-04,0.0
175,847,0,0,TB,0,2016-04-04,5,107,0.375,4,34,7,46,15,2,5.4,1,2,0,1,0,2016-04-04,0.5
176,407,1,0,TB,0,2016-04-04,6,107,0.0,4,31,8,46,15,0,5.4,1,2,1,0,1,2016-04-04,0.0
177,838,0,0,TB,0,2016-04-04,7,107,0.25,4,31,6,46,15,1,5.4,1,2,0,1,0,2016-04-04,0.25
178,793,1,0,TB,0,2016-04-04,8,107,0.571,4,30,8,46,15,3,5.4,1,2,1,1,0,2016-04-04,0.75
179,295,0,0,TB,0,2016-04-04,9,107,0.333,3,32,7,46,15,1,5.4,1,2,0,1,0,2016-04-04,0.3333333333333333
180,588,1,0,ARI,1,2016-04-04,1,234,0.2,6,34,10,37,17,1,15.75,1,1,1,1,0,2016-04-04,0.16666666666666666
181,447,0,0,ARI,1,2016-04-04,2,234,0.333,6,28,5,37,17,2,15.75,1,1,0,1,0,2016-04-04,0.3333333333333333
182,760,1,0,ARI,1,2016-04-04,3,234,0.4,5,35,12,37,17,2,15.75,1,1,1,1,0,2016-04-04,0.4
183,642,0,0,ARI,1,2016-04-04,4,234,0.4,5,29,8,37,17,2,15.75,1,1,0,1,0,2016-04-04,0.4
184,340,1,0,ARI,1,2016-04-04,5,234,0.6,5,33,11,37,17,3,15.75,1,1,1,1,0,2016-04-04,0.6
185,63,0,0,ARI,1,2016-04-04,6,234,0.25,5,37,13,37,17,1,15.75,1,1,0,1,0,2016-04-04,0.2
186,743,0,0,ARI,1,2016-04-04,7,234,0.333,5,37,12,37,17,1,15.75,1,1,0,1,0,2016-04-04,0.2
187,64,0,0,ARI,1,2016-04-04,8,234,0.667,3,32,10,37,17,2,15.75,1,1,0,1,0,2016-04-04,0.6666666666666666
188,600,1,0,ARI,1,2016-04-04,9,234,0.5,2,39,15,37,17,1,15.75,1,1,1,1,0,2016-04-04,0.5
189,284,0,1,ARI,0,2016-04-04,1,155,0.4,5,30,9,39,15,2,9.64,1,1,1,1,0,2016-04-04,0.4
190,802,0,1,ARI,0,2016-04-04,2,155,0.2,5,29,8,39,15,1,9.64,1,1,1,1,0,2016-04-04,0.2
191,371,0,1,ARI,0,2016-04-04,3,155,0.0,5,33,10,39,15,0,9.64,1,1,1,0,1,2016-04-04,0.0
192,102,0,1,ARI,0,2016-04-04,4,155,0.0,5,33,10,39,15,0,9.64,1,1,1,0,1,2016-04-04,0.0
193,579,1,1,ARI,0,2016-04-04,5,155,0.6,5,33,7,39,15,3,9.64,1,1,0,1,0,2016-04-04,0.6
194,328,0,1,ARI,0,2016-04-04,6,155,0.5,4,30,3,39,15,2,9.64,1,1,1,1,0,2016-04-04,0.5
195,424,1,1,ARI,0,2016-04-04,7,155,0.333,4,30,7,39,15,1,9.64,1,1,0,1,0,2016-04-04,0.25
196,769,0,1,ARI,0,2016-04-04,8,155,1.0,1,37,17,39,15,1,9.64,1,1,1,1,0,2016-04-04,1.0
197,786,0,1,ARI,0,2016-04-04,9,155,0.5,4,30,7,39,15,2,9.64,1,1,1,1,0,2016-04-04,0.5
198,183,1,1,OAK,1,2016-04-04,1,136,0.667,4,32,9,40,16,2,6.75,0,0,0,1,0,2016-04-04,0.5
199,105,3,1,OAK,1,2016-04-04,2,136,0.25,4,42,17,40,16,1,6.75,0,0,1,1,0,2016-04-04,0.25
200,617,0,1,OAK,1,2016-04-04,3,136,0.333,4,30,3,40,16,1,6.75,0,0,1,1,0,2016-04-04,0.25
